No,Country,Latitude,Longitude,Crop,Year,Kg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
2734,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,20.13
2733,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,27.34
2735,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,27.21
2730,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,20.13
2731,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,17.95
2732,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,17.95
2736,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,19.11
2737,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,25.57
2739,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,25.06
2738,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,24.25
2831,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,17.8
2832,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,27.58
2833,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,20.21
2834,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,27.42
2835,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,18.72
2836,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,25.61
2837,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,24.24
2838,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,24.97
2729,Brazil,-14.235,-51.9253,Yams,1991,9135.3,1761,58349.44,21.43
2828,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,21.35
2829,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,20.21
2830,Brazil,-14.235,-51.9253,Yams,1992,9141.3,1761,67003.89,17.8
3034,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,26.05
3035,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,24.71
3036,Brazil,-14.235,-51.9253,Yams,1994,9166.7,1761,84312.78,25.42
4617,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,18.82
4618,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,25.89
4619,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,24.32
4620,Brazil,-14.235,-51.9253,Yams,2011,9641.4,1761,345026,25.28
3125,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,22.07
3126,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,20.61
3127,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,18.27
3128,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,18.27
3129,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,27.52
3130,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,20.61
3131,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,27.34
3132,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,18.89
3133,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,26.05
3134,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,24.77
3135,Brazil,-14.235,-51.9253,Yams,1995,9158.7,1761,92967.22,25.65
4709,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,22.16
4710,Brazil,-14.235,-51.9253,Yams,2012,9761.9,1761,346583,21.02
2927,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,21.94
2928,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,20.49
2929,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,17.93
2930,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,17.93
2931,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,28.18
2932,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,20.49
2933,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,26.89
2934,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,18.69
2935,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,26.06
2936,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,24.65
2937,Brazil,-14.235,-51.9253,Yams,1993,9147.1,1761,75658.33,25.41
4511,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,22.12
4512,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,20.72
4513,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,18.18
4514,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,18.18
4515,Brazil,-14.235,-51.9253,Yams,2010,9533.2,1761,342580,28.18
